Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
730.0,507.40430031618143,28.0,203.96610619858285,340.153442893385
731.0,484.1171872201594,28.0,201.86217682269086,343.3763130541171
732.0,487.7827626447109,28.0,201.76546055167398,343.0179876087338
733.0,483.7898519988451,28.0,200.6129770138627,343.83563757910986
734.0,482.45292077314735,28.0,200.22957426566154,345.05175812548805
735.0,480.996381869193,28.0,200.95499896903044,345.5288290934792
736.0,484.9062746347105,28.0,200.92834829793395,345.9066417970038
737.0,489.702099884228,28.0,201.15927228431514,346.63523609539664
738.0,491.811065729319,28.0,201.76246938640298,347.28750201876045
739.0,493.9519224025518,28.0,202.37449127464836,347.94335804535115
740.0,496.0027332476176,28.0,200.67025178340333,344.1458143562069
741.0,497.5703409437675,28.0,199.9809136462011,344.1378680945746
742.0,495.61282927913516,28.0,200.56261905452078,344.73844259747693
743.0,499.58535209006914,28.0,200.55902362811491,345.44307243228195
744.0,502.0936620788475,28.0,201.28003020110995,345.96623259543685
745.0,498.39426245055955,28.0,202.52201558549046,345.0363468746268
746.0,492.30237322420425,28.0,203.0617787140315,345.67150379328075
747.0,475.34464916236914,28.0,200.48046738907624,349.4611793478649
748.0,482.3944543940349,28.0,199.06709638737567,347.1461944545
749.0,484.3934203031246,28.0,199.64179066514893,347.79940204488395
750.0,483.0770870705266,28.0,200.40580755456196,348.24674175684106
751.0,482.73826946413783,28.0,200.30779782700904,349.29602043061686
752.0,484.78771474489776,28.0,200.8936257984928,349.9711472106477
753.0,471.7053205158031,28.0,200.57639588423623,351.4775305036013
754.0,474.82818989009365,28.0,200.32165770344048,351.92666695655373
755.0,474.9366754334168,28.0,200.35968716541487,352.7036620485294
756.0,473.1151630746015,28.0,200.97666267342288,353.3576796144498
757.0,474.65339969667684,28.0,200.27203726516007,353.3013665072847
758.0,476.6755963783982,28.0,200.85151659197555,354.02158770173116
759.0,480.93618170190086,28.0,200.92807084788208,354.64156751681276
760.0,488.5490460745482,28.0,199.67452791289654,353.3777028743208
761.0,490.755653773812,28.0,200.31227745134092,352.3881624621119
762.0,480.0651153825327,28.0,197.23200744471956,352.6524619052485
763.0,484.2530764249477,28.0,196.13922128431818,351.3652677723609
764.0,487.8456820800584,28.0,196.03031565009806,352.6687448883065
765.0,487.06308488911725,28.0,195.79989870701584,352.1824214847255
766.0,486.7641081307628,28.0,196.8606416922606,349.76069439567186
767.0,479.40259280581483,28.0,197.03882797525938,349.94878866733825
768.0,478.53458226180044,28.0,196.78708653143616,350.07868276190504
769.0,476.05228782498364,28.0,196.06747095811176,350.9244724523242
770.0,481.41350367355835,28.0,196.46351043261876,349.4139516655865
771.0,483.48023717772486,28.0,197.05299876606665,350.0469155479576
772.0,491.36585037532114,28.0,195.87671478008608,349.0750100888873
773.0,491.27788317286377,28.0,195.85074899955004,348.44371166399435
774.0,493.5128190279159,28.0,196.49405661253508,348.8497274325273
775.0,492.1915846102594,28.0,194.95709422502802,347.4757111800201
776.0,492.3905972839342,28.0,196.16022121546334,347.4185876149985
777.0,494.36987329386193,28.0,196.73539628315217,345.98262222549636
778.0,496.5416939954145,28.0,197.35675722987875,346.5504314435419
779.0,494.09805872303434,28.0,196.6481322338372,347.24699312596397
780.0,478.94832384303544,28.0,192.27445108005014,352.619847711915
781.0,481.073859393138,28.0,192.88142357924883,353.23437237565247
782.0,478.2083481823245,28.0,194.35126743057612,352.9318623455248
783.0,481.4997001650245,28.0,194.14432471133932,348.16053340489947
784.0,479.80653102486275,28.0,195.95341817737696,347.5076954890413
785.0,477.71879472613966,28.0,196.50993635422734,348.1500948255344
786.0,482.0808947815831,28.0,196.6147471416181,346.3565582065236
787.0,484.28483030809304,28.0,197.24667566561536,346.95735377937024
788.0,494.1300249707335,28.0,195.48944013390337,343.29008137143785
789.0,497.506183700787,28.0,195.31812618325574,340.2580993231061
790.0,497.9549710700696,28.0,195.44371675773345,340.03924780779914
791.0,503.1537022084999,28.0,193.49807469249703,334.4303953169369
792.0,505.4100914075887,28.0,194.1455243809067,334.8905499327369
793.0,504.1304724766436,28.0,192.63659517836598,334.9064362286848
794.0,510.0398521665379,28.0,193.19249199313802,334.5613117231878
795.0,506.6112734637517,28.0,192.21154125872292,335.9360311445936
796.0,508.82971869290094,28.0,192.8447915591807,336.4208601617522
797.0,507.52235001309964,28.0,193.61231839858883,336.75424576215454
798.0,509.7962624024103,28.0,194.26124597380146,337.2500245966089
799.0,512.1079480521113,28.0,194.92113534917945,337.7481223890892
800.0,515.0333413198667,28.0,194.60757968878073,337.0950899399942
801.0,510.6285348563626,28.0,194.48704727945884,336.83783978214535
802.0,513.606379309302,28.0,194.19113927474825,336.85499800687444
803.0,515.9992293482226,28.0,194.87477127555945,337.33643650902076
804.0,515.4565619860605,28.0,194.71251450980105,338.3670195298729
805.0,504.95655995459003,28.0,192.8322678716598,339.7238132489903
806.0,507.22890849554585,28.0,192.33794873800457,338.53100648061263
807.0,512.3603084077356,28.0,191.51466785567203,332.8161802118219
808.0,506.0349279602063,28.0,191.98750850580353,333.40700346320676
809.0,508.45147349457767,28.0,192.67753609405182,333.84537158292585
810.0,512.4584817862793,28.0,192.6776731511769,334.26528436488053
811.0,513.0724230675671,28.0,192.85343210113138,333.772462347838
812.0,509.1523655631357,28.0,192.87198486249525,334.8764591001565
813.0,513.4102397394079,28.0,191.80155672677984,331.75458918983685
814.0,508.6028350281721,28.0,192.71400381195969,331.9094369021161
815.0,506.80439897695794,28.0,192.19331563118112,332.04847789116627
816.0,509.9569466363506,28.0,193.10268041078677,331.93229058739536
817.0,506.128744839196,28.0,191.99527653568964,333.29696822261064
818.0,508.6075161368243,28.0,192.70476175233463,333.73081597696716
819.0,509.1116698441609,28.0,192.84838603328836,334.85162972088006
820.0,508.25264434098017,28.0,193.75158232696973,335.0797938428695
821.0,509.6814038744948,28.0,194.1613280633517,335.74939221909415
822.0,512.7506335389529,28.0,193.89794935382125,331.8327506485127
823.0,512.0095281998081,28.0,194.8303775854032,332.03316175803764
824.0,502.71888462875984,28.0,194.4596124989785,333.5226246886147
825.0,500.2630548156682,28.0,194.896162973193,333.58781857012156
826.0,497.89634562379814,28.0,193.063082651096,336.05693272244673
827.0,500.63359438712405,28.0,191.55641854669008,335.66962928392365
828.0,505.0771798402302,28.0,191.68579131869882,335.4217425215519
829.0,501.2974124516669,28.0,192.9007557128475,334.07394964274425
830.0,499.95576181502673,28.0,193.6615137193115,334.4638174597437
831.0,502.4343938538339,28.0,194.3695420787207,334.9512145924454
832.0,499.6953152980562,28.0,195.87592448212203,334.5870905271293
833.0,504.18756431802586,28.0,196.01816820526494,334.93324183522253
834.0,499.3430918056113,28.0,194.67342139706884,337.0232141050133
835.0,502.62189896742876,28.0,194.4648906622512,336.2822383268518
836.0,501.3389452733607,28.0,194.10184002523684,337.61137515691564
837.0,502.0575683641496,28.0,193.15226386406798,338.1810977079057
838.0,493.5437525035989,28.0,193.00505337168602,339.50484561458677
839.0,496.10451862796606,28.0,192.58641435563544,338.83703503970435
840.0,494.5878263041178,28.0,192.15220150366454,333.34557432768446
841.0,483.4399342273806,28.0,191.2392114833318,335.4334615018408
842.0,487.98880675926,28.0,190.24602550120068,336.3852526327786
843.0,490.2520626520935,28.0,190.89673172153724,336.96549574370823
844.0,494.73466451197055,28.0,189.88834699266755,338.3741687790201
845.0,476.60207948596764,28.0,188.1150739522462,338.8391687173188
846.0,479.417582993209,28.0,187.77143272879016,340.2317980019543
847.0,481.6422717959525,28.0,188.40936258462924,340.8183383142497
848.0,479.836690427512,28.0,189.0347066797889,341.4015644569416
849.0,475.9706032737501,28.0,189.06835872840304,341.88267738475486
850.0,480.0504699378483,28.0,189.0904036968033,342.7755918543142
851.0,480.457863824657,28.0,189.2098403162475,342.6790917760875
852.0,482.7442249017129,28.0,189.86331208191547,343.2997745375172
853.0,478.79980421090175,28.0,188.7320311460715,342.4802897746419
854.0,481.07278899987386,28.0,189.38214318200363,343.0969462647892
855.0,486.40769118846964,28.0,189.76980400132487,340.9372205530191
856.0,486.1537238903114,28.0,190.8431886892808,341.0881835739575
857.0,489.8919468043414,28.0,190.76803407087698,341.4331808942769
858.0,489.2383404261997,28.0,191.72171258280542,341.7255837227275
859.0,491.65049611687766,28.0,192.41140639168322,342.32438184259524
860.0,494.098192030012,28.0,193.11141397311786,342.9266723896001
861.0,500.6237049474422,28.0,192.6938106327934,342.56781632478163
862.0,490.46693051681007,28.0,193.2139129700942,343.2687832929183
863.0,492.9357533028947,28.0,193.92000323597824,343.881172862344
864.0,491.0513952899293,28.0,193.38037650585727,344.3910495229653
865.0,496.69635832018446,28.0,191.55818906569067,341.7272205235869
866.0,501.42896352378574,28.0,191.77383085125038,342.9798978347947
867.0,499.6714717075558,28.0,192.41499090319067,343.63388454929026
868.0,503.68310136045255,28.0,192.42365818115377,342.750888585245
869.0,506.2025810028341,28.0,193.14709601480328,343.3633507255677
870.0,508.7582106754943,28.0,193.87824900702242,343.9821296598699
871.0,512.3630861511513,28.0,193.76204083038934,344.3924670541197
872.0,515.402787542063,28.0,193.48620854935504,343.32240978953166
873.0,513.5951325841625,28.0,194.11413139361653,343.1483069610699
874.0,518.2545694917048,28.0,193.1552195487232,343.09150546562694
875.0,519.8708842969131,28.0,193.62159304021122,341.8617772717199
876.0,521.9862688075248,28.0,194.22713187146647,342.04548724956027
877.0,521.3054391509716,28.0,195.18053407067742,339.6522931128318
878.0,524.0025467842188,28.0,195.95697844161197,340.2162424458917
879.0,528.450635754537,28.0,196.086586810518,340.0118430851641
880.0,527.0797103590892,28.0,195.69964504718283,340.38009115237026
881.0,533.1367686186918,28.0,196.29662238722932,340.81677889326363
882.0,537.521747825716,28.0,196.4082291554739,341.65651588995746
883.0,538.6064465137998,28.0,196.7179705732304,341.85180559604964
884.0,544.8038392292926,28.0,196.20327868815068,339.08450999718286
885.0,550.0615761831468,28.0,195.41615402891952,339.5142047388372
886.0,545.6524822006752,28.0,195.3063078758728,338.0234734508551
887.0,539.3756293535392,28.0,194.64769951965764,339.22311942954406
888.0,542.1445763314439,28.0,195.44064763839702,339.765593360119
889.0,541.1566768902183,28.0,194.00827480495605,340.5967395404671
890.0,545.5574953350936,28.0,194.12717422047328,340.68826197059786
891.0,543.8618789361718,28.0,194.7940110593917,341.32814778006576
892.0,542.253049716122,28.0,193.17768958334665,343.25600648435864
893.0,545.0154421278341,28.0,193.97155502761856,343.8202918642704
894.0,546.8570549283174,28.0,194.49947121123395,336.6767742586884
895.0,549.677321764563,28.0,195.30763734019772,337.1108615284048
896.0,552.7974028454834,28.0,195.04966684942968,336.00953492965016
897.0,550.4443013929965,28.0,194.37122399676772,337.1493841390046
898.0,554.6144224327822,28.0,194.42225956184078,334.3295850856481
899.0,557.5213017510949,28.0,195.25470538999338,334.7238407755644
900.0,554.1850140422023,28.0,195.45484151663572,334.32867293642556
901.0,548.3261320890489,28.0,193.77122814958267,332.6483478067902
902.0,551.1558117169556,28.0,194.58190353224194,333.04799216209756
903.0,550.2966427382723,28.0,195.48001856895027,333.34303279148327
904.0,551.3993427099889,28.0,196.94185086508156,333.0839616158124
905.0,562.585375186866,28.0,195.57182360359096,329.4390220864001
906.0,559.2296027397992,28.0,195.75067125324716,330.45249315035056
907.0,553.5786458866339,28.0,195.2671644515339,332.14564428864475
908.0,553.328710289888,28.0,195.19238568612997,332.0741262120472
909.0,554.3808825382741,28.0,194.34678509741303,331.8918575127055
910.0,549.827511451657,28.0,195.33380024517615,332.07612984126933
911.0,553.8180373902616,28.0,195.33016458236688,332.0069539916279
912.0,553.1009235169253,28.0,196.27126792728026,332.27599247155524
913.0,538.3289982199246,28.0,194.3160260612806,331.93677249893574
914.0,528.1333785688605,28.0,193.68249897583107,333.7524152538938
