,Volume (Liters),n active cows,concentrated_requirements,grass_requirements
0,553769.2068622492,29280.0,208308.1856406551,355991.1719836148
1,580644.5580456656,29280.0,215649.23607865867,364161.2242077867
2,534800.2476289348,29280.0,201778.72748139972,357470.0151471154
3,507496.14552798227,29280.0,196662.3119072805,351537.47818062943
4,539431.6201274567,29280.0,205619.66171948222,353361.7005982754
5,563313.5476392328,29280.0,211812.86950249964,360068.094729424
6,530042.0722533375,29280.0,205730.64638479246,352735.0109354899
7,553052.3163131763,29280.0,208830.49130493545,358468.4981286421
8,569993.7919533913,29280.0,211383.44049612514,356671.9663919008
9,540103.3800412097,29280.0,202625.00870150025,350121.0514145581
