Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,174.7317157415676,11.0,80.63949727124358,133.85348726929533
2.0,174.75500441546797,11.0,80.64234390820292,134.20140437598675
3.0,174.7917725387363,11.0,80.64910228136881,134.55122670020356
4.0,174.84202011137253,11.0,80.65977239074127,134.90295424194568
5.0,174.90574713337662,11.0,80.6743542363203,135.2565870012131
6.0,174.98295360474867,11.0,80.6928478181059,135.61212497800588
7.0,175.07363952548857,11.0,80.71525313609806,135.96956817232405
8.0,175.17780489559638,11.0,80.74157019029678,136.32891658416747
9.0,175.2954497150721,11.0,80.77179898070206,136.69017021353628
10.0,175.42657398391574,11.0,80.80593950731392,137.05332906043043
11.0,175.57117770212727,11.0,80.84399177013236,137.4183931248499
12.0,216.8407355058244,14.0,91.55396043819827,172.14633811701427
13.0,216.75931362772894,14.0,91.60058144379023,172.44229162864175
14.0,235.28775244626956,14.0,85.46550038521397,168.91218908263232
15.0,235.18809856533488,14.0,85.43330575990743,169.16831404960845
16.0,235.11090450728872,14.0,85.40438620366021,169.42893612652756
17.0,256.44040213672486,14.0,80.06705407355938,159.7397876372776
18.0,256.4083916969106,14.0,80.05120470007755,159.808541806412
19.0,256.39883756547476,14.0,80.04191527044347,159.8774959639155
20.0,256.41173974241707,14.0,80.03914266150078,159.94669323294428
21.0,256.44709822773774,14.0,80.04288687324944,160.01613361349857
22.0,256.50491302143666,14.0,80.0531479056895,160.08581710557826
23.0,256.58518412351384,14.0,80.06992575882094,160.1557437091834
24.0,256.68791153396927,14.0,80.0932204326437,160.2259134243139
25.0,256.81309525280295,14.0,80.12303192715788,160.29632625096983
26.0,256.96073528001494,14.0,80.1593602423634,160.36698218915117
27.0,257.13083161560513,14.0,80.20220537826033,160.43788123885793
28.0,257.3233842595737,14.0,80.25156733484863,160.5090234000901
29.0,295.52843054023225,16.0,90.49064821535471,183.43565024927662
30.0,295.6610175369051,16.0,90.55335054277539,183.4770504500106
31.0,295.8177125954617,16.0,90.59182728920987,183.54990740426754
32.0,311.2500255996275,17.0,94.64254639777117,195.06896318423145
33.0,311.40646446851525,17.0,94.69515742901189,195.12831919314888
34.0,311.5879157114313,17.0,94.74055598876312,195.20237684363448
35.0,311.7943793283762,17.0,94.7932131394574,195.2766650732556
36.0,312.0258553193494,17.0,94.85312888109475,195.3511838820122
37.0,312.2823436843513,17.0,94.9203032136752,195.42593326990442
38.0,312.56384442338174,17.0,94.99473613719873,195.5009132369321
39.0,312.8703575364407,17.0,95.07642765166537,195.57612378309534
40.0,313.2018830235281,17.0,95.16537775707506,195.6515649083941
41.0,313.5584208846442,17.0,95.26158645342788,195.7272366128284
42.0,313.9399711197889,17.0,95.36505374072375,195.80313889639825
43.0,314.34653372896213,17.0,95.47577961896272,195.8792717591036
44.0,314.7781087121638,17.0,95.59376408814478,195.95563520094453
45.0,315.23469606939403,17.0,95.71900714826994,196.0322292219209
46.0,345.6365138039634,17.0,93.01528839612152,194.29377208260783
47.0,372.2126290976804,18.0,100.30796736303185,205.68317908064904
48.0,372.6830776530826,18.0,100.44530496414683,205.68005904104467
49.0,373.17957161174286,18.0,100.58182913492455,205.68518310719085
50.0,373.7021109736611,18.0,100.7259116817278,205.69017947272482
51.0,374.2506957388374,18.0,100.87755260455644,205.6950481376466
52.0,374.8253259072717,18.0,101.03675190341062,205.69978910195627
53.0,375.42600147896394,18.0,101.20350957829024,205.70440236565375
54.0,376.0527224539144,18.0,101.37782562919539,205.70888792873902
55.0,376.70548883212274,18.0,101.55970005612595,205.7132457912122
56.0,377.38430061358906,18.0,101.74913285908201,205.71747595307315
57.0,378.08915779831347,18.0,101.94612403806356,205.72157841432187
58.0,378.82006038629584,18.0,102.15067359307056,205.72555317495852
59.0,379.57700837753634,18.0,102.36278152410306,205.72940023498288
60.0,380.3600017720348,18.0,102.58244783116105,205.73311959439516
61.0,381.16904056979115,18.0,102.80967251424447,205.7367112531952
62.0,382.00412477080556,18.0,103.04445557335339,205.7401752113831
63.0,382.86525437507805,18.0,103.28679700848778,205.7435114689589
64.0,383.75242938260857,18.0,103.53669681964766,205.7467200259224
65.0,384.66564979339705,18.0,103.79415500683301,205.74980088227383
66.0,397.1337398982047,19.0,106.98386155494171,217.21720303679638
67.0,397.9709219560856,19.0,107.25681131845901,217.18309880284633
68.0,398.8362332885665,19.0,107.49976155165602,217.1870192968721
69.0,399.7296738956472,19.0,107.750874900342,217.1908018730645
70.0,400.65124377732803,19.0,108.01015136451684,217.19444653142344
71.0,401.6009429336087,19.0,108.27759094418057,217.19795327194916
72.0,402.5787713644892,19.0,108.55319363933327,217.20132209464145
73.0,403.58472906997,19.0,108.83695944997481,217.2045529995004
74.0,404.61881605005055,19.0,109.12888837610527,217.20764598652596
75.0,405.68103230473093,19.0,109.42898041772469,217.2106010557182
76.0,406.77137783401145,19.0,109.73723557483295,217.213418207077
77.0,407.88985263789186,19.0,110.05365384743014,217.2160974406025
78.0,438.58361180449924,21.0,118.11133078792551,240.11525790906268
