Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,215.34306445527295,11.0,69.05270223136195,128.64945645403705
2.0,216.51254390007563,11.0,69.38655730492022,128.71367050595197
3.0,217.70107179878417,11.0,69.72594023980196,128.77818125162858
4.0,218.90864815139852,11.0,70.07085103600717,128.84298869106695
5.0,220.1352729579187,11.0,70.42128969353584,128.90809282426702
6.0,221.38094621834466,11.0,70.77725621238801,128.97349365122886
7.0,222.64566793267642,11.0,71.13875059256361,129.0391911719524
8.0,223.92943810091404,11.0,71.50577283406271,129.10518538643768
9.0,225.23225672305745,11.0,71.87832293688524,129.17147629468468
10.0,226.55412379910672,11.0,72.25640090103127,129.23806389669343
11.0,227.89503932906175,11.0,72.64000672650077,129.3049481924639
12.0,295.9747512648561,14.0,91.12859649457305,163.60761703215954
13.0,297.07824712432705,14.0,91.52407281706124,163.59567588784367
14.0,298.2113903709107,14.0,91.8443073154797,163.6678249665298
15.0,299.3741810046069,14.0,92.17314548563829,163.74021877240816
16.0,300.5666190254158,14.0,92.51058732753692,163.81285730547873
17.0,301.78870443333716,14.0,92.85663284117565,163.88574056574154
18.0,303.0404372283713,14.0,93.21128202655446,163.9588685531965
19.0,304.32181741051795,14.0,93.57453488367334,164.03224126784374
20.0,305.63284497977725,14.0,93.94639141253231,164.10585870968322
21.0,306.9735199361491,14.0,94.32685161313132,164.17972087871485
22.0,308.3438422796337,14.0,94.71591548547048,164.2538277749387
23.0,309.74381201023084,14.0,95.11358302954969,164.32817939835482
24.0,311.17342912794055,14.0,95.51985424536898,164.40277574896317
25.0,312.63269363276305,14.0,95.93472913292835,164.47761682676364
26.0,314.12160552469794,14.0,96.3582076922278,164.55270263175635
27.0,315.64016480374556,14.0,96.79028992326737,164.62803316394132
28.0,317.1883714699058,14.0,97.23097582604697,164.70360842331854
29.0,345.26519187182066,16.0,104.5285336534913,187.69123575933176
30.0,346.69101586751975,16.0,104.98695868120235,187.71493666170545
31.0,348.14965713440824,16.0,105.40073280475423,187.79304122558807
32.0,357.92629855388765,17.0,107.80740008415978,199.35174321148187
33.0,359.31749129872844,17.0,108.24061184033818,199.3919474584057
34.0,287.2942713996296,17.0,99.12968180723449,208.64642606652137
35.0,287.7833365073873,17.0,99.26379756017252,209.00912906287687
36.0,288.2993173330404,17.0,99.40572425444381,209.37466773485642
37.0,288.8422138765889,17.0,99.55546189004836,209.74304208246
38.0,289.41202613803284,17.0,99.71301046698612,210.11425210568768
39.0,290.00875411737223,17.0,99.87836998525714,210.48829780453943
40.0,290.632397814607,17.0,100.05154044486142,210.86517917901523
41.0,291.2829572297372,17.0,100.23252184579894,211.2448962291151
42.0,291.9604323627628,17.0,100.42131418806972,211.62744895483908
43.0,292.66482321368375,17.0,100.61791747167375,212.012837356187
44.0,293.39612978250017,17.0,100.82233169661102,212.40106143315907
45.0,294.15435206921194,17.0,101.03455686288154,212.79212118575526
46.0,294.9394900738192,17.0,101.25459297048535,213.18601661397537
47.0,316.3986602792626,18.0,107.05322187230337,225.00252625617216
48.0,317.09753579374814,18.0,107.28929121304202,225.36171330839102
49.0,317.82666703919466,18.0,107.4921048873457,225.76575553970972
50.0,318.58605401560203,18.0,107.7036987747743,226.17261707056838
51.0,319.3756967229704,18.0,107.92407287532772,226.58229790096706
52.0,320.1955951612997,18.0,108.15322718900603,226.99479803090574
53.0,321.0457493305899,18.0,108.39116171580919,227.4101174603844
54.0,321.9261592308411,18.0,108.6378764557372,227.82825618940313
55.0,333.6803102059889,18.0,100.5214537580747,221.51241287065102
56.0,334.5888930843109,18.0,100.78382602177798,221.84338211060123
57.0,335.52885990882095,18.0,101.04749677306704,222.18458416371894
58.0,336.5002106795191,18.0,101.32027514553985,222.52820989640625
59.0,337.5029453964055,18.0,101.60216113919645,222.87425930866294
60.0,338.53706405947975,18.0,101.89315475403686,223.22273240048935
61.0,339.60256666874216,18.0,102.193255990061,223.57362917188516
62.0,340.6994532241928,18.0,102.50246484726898,223.92694962285043
63.0,341.8277237258314,18.0,102.82078132566075,224.28269375338527
64.0,342.9873781736582,18.0,103.14820542523626,224.64086156348958
65.0,344.1784165676729,18.0,103.48473714599561,225.0014530531635
66.0,359.13291257723324,19.0,107.39457504843273,236.8179890835595
67.0,360.3016652944091,19.0,107.7495712299131,237.1589131858825
68.0,361.50346775118845,19.0,108.08874326843751,237.52766797777878
69.0,362.73831994757103,19.0,108.4375063413949,237.89883828185953
70.0,364.0062218835572,19.0,108.79586044878515,238.27242409812456
71.0,365.30717355914675,19.0,109.16380559060829,238.64842542657402
72.0,366.6411749743395,19.0,109.54134176686436,239.0268422672079
73.0,368.0082261291358,19.0,109.92846897755334,239.40767462002617
74.0,369.4083270235355,19.0,110.32518722267521,239.7909224850289
75.0,370.8414776575385,19.0,110.73149650223,240.17658586221597
76.0,372.307678031145,19.0,111.1473968162177,240.5646647515874
77.0,373.80692814435486,19.0,111.57288816463829,240.95515915314323
78.0,402.2258667077673,21.0,118.96902146885301,264.25769550974013
79.0,403.70522385342565,21.0,119.41394651859406,264.6282359161273
80.0,405.2190803653277,21.0,119.84325596226412,265.02681204933447
81.0,406.76743624347347,21.0,120.2825771220181,265.4277965872066
82.0,408.35029148786305,21.0,120.73190999785601,265.83118952974377
83.0,409.9676460984963,21.0,121.19125458977786,266.2369908769458
84.0,411.61950007537337,21.0,121.66061089778364,266.64520062881286
85.0,413.30585341849417,21.0,122.13997892187334,267.0558187853449
86.0,415.0267061278588,21.0,122.629358662047,267.4688453465419
87.0,416.782058203467,21.0,123.1287501183046,267.884280312404
88.0,418.57190964531907,21.0,123.63815329064613,268.302123682931
89.0,448.74123201530983,22.0,131.96246329606487,280.10421569282363
90.0,450.5264317740233,22.0,132.4921055308429,280.5056479997851
91.0,452.3474513136854,22.0,133.01017050082157,280.93145440264885
92.0,454.2042906342962,22.0,133.5386303712315,281.35966273618436
93.0,388.3066937539139,22.0,126.04516164726697,289.61456332912314
94.0,404.4123619707973,22.0,119.19219586434174,259.6375700548003
95.0,405.92461470181956,22.0,119.62786744392534,259.75361768356316
96.0,407.4715081961248,22.0,120.06672318646807,259.8768333049997
97.0,409.0530424537124,22.0,120.51563167851536,260.0003483325641
98.0,410.6692174745826,22.0,120.97459292006734,260.12416276625663
99.0,412.3200332587355,22.0,121.44360691112387,260.2482766060771
100.0,414.005489806171,22.0,121.92267365168506,260.3726898520255
101.0,415.725587116889,22.0,122.4117931417508,260.497402504102
102.0,417.48032519088974,22.0,122.91096538132119,260.6224145623065
103.0,399.04033459867884,23.0,128.73650310490257,273.6001058404595
104.0,400.47482575523236,23.0,129.1689051005366,273.78859386277077
105.0,401.9441638663896,23.0,129.58519443416844,274.0040843861652
106.0,385.20656272632766,23.0,136.248048980168,267.64312003096876
107.0,386.71230757814516,23.0,136.6749445031803,267.8699062968915
108.0,388.25275826381943,23.0,137.11191165917774,268.09751146082516
109.0,389.8279147833503,23.0,137.5589504481604,268.32593552276967
110.0,391.43777713673774,23.0,138.01606087012823,268.5551784827251
