Numero	VACA 	5-ene	CONCENTRAD0 1	rel1	POTRERO	12-ene	CONCENTRADO2	rel2	POTRERO	19-ene	CONCENTRADO3	rel3	POTRERO	26-ene	CONCENTRADO4	rel4	POTREROS	2-feb	CONCENTRAD05	rel5	POTRERO	9-feb	CONCENTRADO6	rel6	POTRERO	16-feb	CONCENTRADO7	rel7	POTRERO	23-feb	CONCENTRADO8	rel8	POTREROS	2-mar	CONCENTRADO9	rel9	POTRERO	9-mar	CONCENTRADO10	rel10	POTRERO	17-mar	CONCENTRADO11	rel11	POTRERO	23-mar	CONCENTRADO12	rel12	POTREROS	30-mar	CONCENTRADO13	rel13	POTREROS	6-abr	CONCENTRADO14	rel14	POTRERO	14-abr	CONCENTRADO15	rel15	POTRERO	20-abr	CONCENTRADO16	rel16	POTRERO	27-abr	CONCENTRADO17	rel17	POTREROS	4-may	CONCENTRADO18	rel18	POTRERO	11-may	CONCENTRADO19	rel19	POTRERO	18-may	CONCENTRADO20	rel20	POTRERO	25-may	CONCENTRADO21	rel21	POTREROS	1-jun	CONCENTRADO22	rel22	POTRERO	8-jun	CONCENTRADO23	rel23	POTRERO	15-jun	CONCENTRADO24	rel24	POTRERO	23-jun	CONCENTRADO25	rel25	POTREROS	26-jun	CONCENTRADO26	rel26	POTREROS	1-jul	CONCENTRADO27	rel27	POTRERO	6-jul	CONCENTRADO28	rel28	POTRERO	13-jul	CONCENTRADO29	rel29	POTRERO	20-jul	CONCENTRADO30	rel30	POTREROS	27-jul	CONCENTRADO31	rel31	POTREROS	3-ago	CONCENTRADO32	rel32	POTRERO	10-ago	CONCENTRADO33	rel33	POTRERO	17-ago	CONCENTRADO34	rel34	POTRERO	24-ago	CONCENTRADO35	rel35	POTREROS	31-ago	CONCENTRADO36	rel36	POTREROS	6-sep	CONCENTRADO37	rel37	POTRERO	13-sep	CONCENTRADO38	rel38	POTRERO	21-sep	CONCENTRADO39	rel39	POTRERO	28-sep	CONCENTRADO40	rel40	POTREROS	4-oct	CONCENTRADO41	rel41	POTRERO	12-oct	CONCENTRADO42	rel42	POTRERO	19-oct	CONCENTRADO43	rel43	POTRERO	26-oct	CONCENTRADO44	rel44	POTRERO	2-nov	CONCENTRADO45	rel45	POTRERO	9-nov	CONCENTRADO46	rel46	POTRERO	15-nov	CONCENTRADO47	rel47	POTRERO	23-nov	CONCENTRADO48	rel48	POTRERO	30-nov	CONCENTRADO49	rel49	POTRERO	7-dic	CONCENTRADO50	rel50	POTRERO	14-dic	CONCENTRADO51	rel51	POTRERO	22-dic	CONCENTRADO52	rel52	POTRERO	28-dic	CONCENTRADO53	rel53	POTRERO
28	ALICIA																																																																																																																																																																																											NaN				NaN				NaN				NaN				NaN		9.50	8	1.2	5	22.50	8	2.8	3
1	ANITA			NaN	2			NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2	21.5	6	3.6	1	26	8	3.3	4	26	8	3.3	5	25	8	3.1	5	26.5	8	3.3	3	25	8	3.1	2	26.5	8	3.3	1	27.5	8	3.4	1	25.5	8	3.2	4	23.5	6	3.9	5	23	6	3.8	5	25.5	8	3.2	3	23.5	6	3.9	2	23.5	6	3.9	1	23.5	6	3.9	1	22.5	6	3.8	4	20.5	4	5.1	5	20	4	5.0	3	19.5	4	4.9		21	6	3.5	2	19.5	4	4.9	2	18	4	4.5	1	18	4	4.5	4	16	4	4.0	5	16.5	4	4.1	3	18	4	4.5	2	16	4	4.0		17	4	4.3	1	17	4	4.3	1	15.5	2	7.8	4	17	4	4.3	5	17	4	4.3	3	16	4	4.0	3	18.5	4	4.6	2	16.5	4	4.1	1	15.50	2	7.8	1	14.50	2	7.3	4	14	2	7.0	5	15.5	2	7.8	3	15.00	2	7.5	3	13.50	2	6.8	2	10.00	0	NaN	1			NaN				NaN	4			NaN				NaN	
2	BLANCANIEVES			NaN	2			NaN	2			NaN	3			NaN	4	15	6	2.5	5	18	8	2.3	3	22	6	3.7	2	25	8	3.1	1	25.5	8	3.2		28.5	8	3.6		27.5	8	3.4		28	8	3.5		28.5	8	3.6		28	8	3.5	1	28.5	8	3.6	1	27.5	8	3.4	4	28.5	8	3.6	5	25.5	6	4.3	5	26	8	3.3	3	27.5	8	3.4	2	25	8	3.1	1	23.5	6	3.9	1	23.5	6	3.9	4	24	6	4.0	5	22.5	6	3.8	3	21.5	6	3.6		23	6	3.8	2	20.5	4	5.1	2	21.5	6	3.6	1	20.5	6	3.4	4	19	4	4.8	5	19.5	4	4.9	3	21	6	3.5	2	18	4	4.5		22	6	3.7	1	21	6	3.5	1	19	4	4.8	4	21	6	3.5	5	18	4	4.5	3	18.5	4	4.6	3	18	4	4.5	2	16.5	4	4.1	1	17.00	4	4.3	1	16.50	4	4.1	4	15.5	2	7.8	5	17	0	NaN	3	14.00	0	NaN	3		0	NaN	2			NaN				NaN				NaN	4			NaN				NaN	
3	CENTAVITO	30.5	10	3.1	2	28.5	10	2.9	2	31	10	3.1	3	27.5	8	3.4	4	25	8	3.1	5	27.5	8	3.4	3	26.5	8	3.3	2	26	8	3.3	1	22.5	6	3.8		25	8	3.1		20	4	5.0		26	8	3.3		22.5	6	3.8		21.5	6	3.6	1	21	6	3.5	1	20	4	5.0	4	20.5	4	5.1	5	17	4	4.3	5	17	4	4.3	3	16	2	8.0	2	14.5	2	7.3	1	11	2	5.5	1	7		NaN	4	4.5	0	NaN	5			NaN	3			NaN				NaN	2			NaN	2			NaN	1			NaN	4			NaN	5			NaN	3			NaN	2			NaN				NaN	1			NaN	1			NaN	4			NaN	5			NaN				NaN				NaN				NaN		40.00	10	4.0	1	41.50	10	4.2	4	43.5	10	4.4	5	40	10	4.0	3	37.50	10	3.8	3	34.00	10	3.4	2	44.00	10	4.4	1	46.50	10	4.7	4	44.00	10	4.4	4	34.50	10	3.5	5	44.50	10	4.5	3
4	CHANCLETA	22	6	3.7	2	28.5	6	4.8	2	23.5	5	4.7	3	21.5	6	3.6	4	22	6	3.7	5	20	4	5.0	3	16.5	4	4.1	2	19.5	4	4.9	1	18	4	4.5		17	4	4.3		18	4	4.5		18	4	4.5		17	4	4.3		18	4	4.5	1	17.5	4	4.4	1	16.5	4	4.1	4	16	4	4.0	5	16	4	4.0	5	16	4	4.0	3	15	2	7.5	2	16.5	2	8.3	1	14.5	2	7.3	1	12		NaN	4	12.5	0	NaN	5	11.5	2	5.8	3	12.5	2	6.3		12.5	2	6.3	2	11.5	2	5.8	2	11	2	5.5	1	9	2	4.5	4	11	2	5.5	5	9.5	0	NaN	3	9	0	NaN	2			NaN				NaN	1			NaN	1			NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN	
5	GORILONA			NaN				NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2			NaN	1			NaN		28.5	8	3.6		32	10	3.2		33	10	3.3		32.5	12	2.7		34	10	3.4	1	34.5	10	3.5	1	34	10	3.4	4	30.5	10	3.1	5	29.5	8	3.7	5	30.5	10	3.1	3	24.5	6	4.1	2	30	10	3.0	1	32	10	3.2	1	28.5	8	3.6	4	24	6	4.0	5	26.5	8	3.3	3	25	8	3.1		26.5	8	3.3	2	25.5	8	3.2	2	26.5	8	3.3	1	26	8	3.3	4	25	8	3.1	5	19	4	4.8	3	24.5	6	4.1	2	25	8	3.1		25.5	8	3.2	1	24.5	8	3.1	1	24.5	6	4.1	4	24.5	6	4.1	5	24	6	4.0	3	24	6	4.0	3	23	6	3.8	2	21	6	3.5	1	21.50	6	3.6	1	22.00	6	3.7	4	19.5	4	4.9	5	21	6	3.5	3	19.00	4	4.8	3	17.00	4	4.3	2	15.50	2	7.8	1	16.50	4	4.1	4	17.50	4	4.4	4	17.50	4	4.4	5	17.50	4	4.4	3
6	HORTENCIA	44.5	12	3.7	2	43.5	12	3.6	2	46.5	12	3.9	3	40	10	4.0	4	42.5	12	3.5	5	45.5	10	4.6	3	44	12	3.7	2	45	12	3.8	1	43.5	12	3.6		43	12	3.6		28	10	2.8		42	12	3.5		38	12	3.2		42	12	3.5	1	37.5	10	3.8	11	39	10	3.9	4	35.5	10	3.6	5	33.5	10	3.4	5	37.5	10	3.8	3	32	10	3.2	2	33.5	10	3.4	1	35	10	3.5	1	31	8	3.9	4	29.5	10	3.0	5	33.5	10	3.4	3	31	10	3.1		31.5	10	3.2	2	31.5	10	3.2	2	30.5	10	3.1	1	29.5	10	3.0	4	30	10	3.0	5	27	8	3.4	3	27.5	8	3.4	2	24.5	8	3.1		26	8	3.3	1	25	8	3.1	1	24	6	4.0	4	25.5	8	3.2	5	23.5	6	3.9	3	24	6	4.0	3	26.5	8	3.3	2	22	6	3.7	1	22.00	6	3.7	1	21.00	6	3.5	4	19	4	4.8	5	21	6	3.5	3	22.00	6	3.7	3	15.00	6	2.5	2	19.00	4	4.8	1	18.50	4	4.6	4	22.00	4	5.5	4	20.00	4	5.0	5	19.50	4	4.9	3
7	LAMBONA	18.5	4	4.6	2	17	4	4.3	2	19.5	4	4.9	3	17	4	4.3	4	14	2	7.0	5	14.5	2	7.3	3	14	2	7.0	2	11.5	2	5.8	1	12	2	6.0		11	2	5.5		8.5	0	NaN		8	0	NaN		5.5	0	NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN	1			NaN	4			NaN	5	0	8	0.0	3	25	8	3.1		32	10	3.2	2	32	10	3.2	2	30	10	3.0	1	31	10	3.1	4	31.5	10	3.2	5	32.5	10	3.3	3	33.5	10	3.4	2	29	10	2.9		28.5	8	3.6	1	34.5	10	3.5	1	32	10	3.2	4	33.5	10	3.4	5	35.5	10	3.6	3	33	10	3.3	3	32	10	3.2	2	30.5	10	3.1	1	33.00	10	3.3	1	31.00	10	3.1	4	28.5	8	3.6	5	30.5	10	3.1	3	27.00	8	3.4	3	20.00	8	2.5	2	28.50	8	3.6	1	21.50	6	3.6	4	25.00	6	4.2	4	28.00	8	3.5	5	27.50	8	3.4	3
26	MAGDALENA																																																																																																																																															NaN		25	8	3.1	4	29	10	2.9	5	28.5	8	3.6	3	27	8	3.4	3	25.5	8	3.2	2	28	10	2.8	1	28.00	8	3.5	1	24.50	6	4.1	4	25.5	6	4.3	5	27.5	8	3.4	3	25.00	8	3.1	3	19.00	8	2.4	2	29.00	10	2.9	1	25.00	8	3.1	4	24.00	8	3.0	4	25.50	8	3.2	5	25.00	8	3.1	3
8	MECHAS	31.5	10	3.2	2	30	10	3.0	2	32	10	3.2	3	32	10	3.2	4	31	10	3.1	5	26.5	8	3.3	3	29.5	10	3.0	2	31	10	3.1	1	29.5	10	3.0		27.5	8	3.4		27.5	8	3.4		25.8	8	3.2		27	8	3.4		28	8	3.5	1	29	10	2.9	1	26.5	8	3.3	4	24	6	4.0	5	21.5	6	3.6	5	25	8	3.1	3	23.5	6	3.9	2	33.5	10	3.4	1	23.5	6	3.9	1	21	4	5.3	4	21	6	3.5	5	20	4	5.0	3	17	4	4.3		19	20	1.0	2	18.5	4	4.6	2	17	4	4.3	1	16	4	4.0	4	17.5	4	4.4	5	16		NaN	3	14.5		NaN	2			NaN				NaN	1			NaN	1			NaN	4			NaN	5			NaN				NaN		19	8	2.4	2	24.5	8	3.1	1	30.00	10	3.0	1	31.50	10	3.2	4	31	10	3.1	5	31	10	3.1	3	28.00	10	2.8	3	30.00	10	3.0	2	28.50	8	3.6	1	29.50	10	3.0	4	29.50	10	3.0	4	29.50	10	3.0	5	30.50	10	3.1	3
