Fecha	 # VACAS	 TOTAL LECHE	 Litros vaca	 Vacas en ordeño / ha	 Litros / ha / año
1/01/2018	15	342	22.8	2.3	19,505
2/01/2018	15	340	22.7	2.3	19,391
3/01/2018	15	342	22.8	2.3	19,505
4/01/2018	15	351	23.4	2.3	20,018
5/01/2018	15	343	22.9	2.3	19,562
6/01/2018	15	335	22.3	2.3	19,105
7/01/2018	15	343	22.9	2.3	19,562
8/01/2018	15	340	22.7	2.3	19,391
9/01/2018	15	328	21.9	2.3	18,706
10/01/2018	15	331	22.1	2.3	18,877
11/01/2018	15	339	22.6	2.3	19,334
12/01/2018	15	348	23.2	2.3	19,847
13/01/2018	15	332	22.1	2.3	18,934
14/01/2018	16	337	21.1	2.5	19,220
15/01/2018	16	325	20.3	2.5	18,535
16/01/2018	16	306	19.1	2.5	17,452
17/01/2018	16	326	20.4	2.5	18,592
18/01/2018	16	320	20.0	2.5	18,250
19/01/2018	16	333	20.8	2.5	18,991
20/01/2018	16	321	20.1	2.5	18,307
21/01/2018	16	323	20.2	2.5	18,421
22/01/2018	16	318	19.9	2.5	18,136
23/01/2018	16	317	19.8	2.5	18,079
24/01/2018	16	315	19.7	2.5	17,965
25/01/2018	16	320	20.0	2.5	18,250
26/01/2018	16	322	20.1	2.5	18,364
27/01/2018	16	320	20.0	2.5	18,250
28/01/2018	16	305	19.1	2.5	17,395
29/01/2018	16	300	18.8	2.5	17,109
30/01/2018	16	306	19.1	2.5	17,452
31/01/2018	16	297	18.6	2.5	16,938
1/02/2018	15	293	19.5	2.3	16,710
2/02/2018	17	297	17.5	2.7	16,938
3/02/2018	17	314	18.5	2.7	17,908
4/02/2018	18	320	17.8	2.8	18,250
5/02/2018	18	322	17.9	2.8	18,364
6/02/2018	18	337	18.7	2.8	19,220
7/02/2018	18	357	19.8	2.8	20,360
8/02/2018	18	349	19.4	2.8	19,904
9/02/2018	18	364	20.2	2.8	20,759
10/02/2018	18	358	19.9	2.8	20,417
11/02/2018	18	374	20.8	2.8	21,330
12/02/2018	18	362	20.1	2.8	20,645
13/02/2018	18	374	20.8	2.8	21,330
14/02/2018	18	366	20.3	2.8	20,873
15/02/2018	18	379	21.1	2.8	21,615
16/02/2018	18	368	20.4	2.8	20,988
17/02/2018	18	355	19.7	2.8	20,246
18/02/2018	18	362	20.1	2.8	20,645
19/02/2018	17	365	21.5	2.7	20,816
20/02/2018	17	368	21.6	2.7	20,988
21/02/2018	17	382	22.5	2.7	21,786
22/02/2018	17	415	24.4	2.7	23,668
23/02/2018	20	408	20.4	3.1	23,269
24/02/2018	20	416	20.8	3.1	23,725
25/02/2018	20	396	19.8	3.1	22,584
26/02/2018	20	404	20.2	3.1	23,041
27/02/2018	20	387	19.4	3.1	22,071
28/02/2018	20	396	19.8	3.1	22,584
1/03/2018	20	407	20.4	3.1	23,212
2/03/2018	18	401	22.3	2.8	22,870
3/03/2018	18	411	22.8	2.8	23,440
4/03/2018	18	446	24.8	2.8	25,436
5/03/2018	18	440	24.4	2.8	25,094
6/03/2018	18	457	25.4	2.8	26,063
7/03/2018	18	445	24.7	2.8	25,379
8/03/2018	20	458	22.9	3.1	26,120
9/03/2018	20	460	23.0	3.1	26,234
10/03/2018	20	460	23.0	3.1	26,234
11/03/2018	20	481	24.1	3.1	27,432
12/03/2018	20	472	23.6	3.1	26,919
13/03/2018	20	473	23.7	3.1	26,976
14/03/2018	20	483	24.2	3.1	27,546
15/03/2018	20	479	24.0	3.1	27,318
16/03/2018	21	476	22.7	3.3	27,147
17/03/2018	21	472	22.5	3.3	26,919
18/03/2018	21	481	22.9	3.3	27,432
19/03/2018	21	495	23.6	3.3	28,230
20/03/2018	21	511	24.3	3.3	29,143
21/03/2018	21	494	23.5	3.3	28,173
22/03/2018	21	504	24.0	3.3	28,744
23/03/2018	22	527	24.0	3.4	30,055
24/03/2018	22	528	24.0	3.4	30,113
25/03/2018	22	531	24.1	3.4	30,284
26/03/2018	22	523	23.8	3.4	29,827
27/03/2018	22	520	23.6	3.4	29,656
28/03/2018	22	535	24.3	3.4	30,512
29/03/2018	22	512	23.3	3.4	29,200
30/03/2018	22	506	23.0	3.4	28,858
31/03/2018	21	494	23.5	3.3	28,173
1/04/2018	20	493	24.7	3.1	28,116
2/04/2018	20	485	24.3	3.1	27,660
3/04/2018	20	508	25.4	3.1	28,972
4/04/2018	20	508	25.4	3.1	28,972
5/04/2018	20	498	24.9	3.1	28,402
6/04/2018	20	500	25.0	3.1	28,516
7/04/2018	20	518	25.9	3.1	29,542
8/04/2018	20	512	25.6	3.1	29,200
9/04/2018	20	499	25.0	3.1	28,459
10/04/2018	20	505	25.3	3.1	28,801
11/04/2018	20	508	25.4	3.1	28,972
12/04/2018	20	514	25.7	3.1	29,314
13/04/2018	20	501	25.1	3.1	28,573
14/04/2018	20	517	25.9	3.1	29,485
15/04/2018	20	503	25.2	3.1	28,687
16/04/2018	20	522	26.1	3.1	29,770
17/04/2018	20	499	25.0	3.1	28,459
18/04/2018	20	497	24.9	3.1	28,345
19/04/2018	20	489	24.5	3.1	27,888
20/04/2018	20	487	24.4	3.1	27,774
21/04/2018	20	491	24.6	3.1	28,002
22/04/2018	20	494	24.7	3.1	28,173
23/04/2018	20	483	24.2	3.1	27,546
24/04/2018	20	509	25.5	3.1	29,029
25/04/2018	21	511	24.3	3.3	29,143
26/04/2018	21	513	24.4	3.3	29,257
27/04/2018	21	520	24.8	3.3	29,656
28/04/2018	21	501	23.9	3.3	28,573
29/04/2018	21	514	24.5	3.3	29,314
30/04/2018	21	498	23.7	3.3	28,402
1/05/2018	21	509	24.2	3.3	29,029
2/05/2018	21	507	24.1	3.3	28,915
3/05/2018	21	487	23.2	3.3	27,774
4/05/2018	21	495	23.6	3.3	28,230
5/05/2018	21	471	22.4	3.3	26,862
6/05/2018	21	470	22.4	3.3	26,805
7/05/2018	21	484	23.0	3.3	27,603
8/05/2018	21	502	23.9	3.3	28,630
9/05/2018	21	490	23.3	3.3	27,945
10/05/2018	21	491	23.4	3.3	28,002
11/05/2018	21	493	23.5	3.3	28,116
12/05/2018	21	489	23.3	3.3	27,888
13/05/2018	21	491	23.4	3.3	28,002
14/05/2018	21	483	23.0	3.3	27,546
15/05/2018	21	486	23.1	3.3	27,717
16/05/2018	21	475	22.6	3.3	27,090
17/05/2018	21	468	22.3	3.3	26,691
18/05/2018	21	464	22.1	3.3	26,463
19/05/2018	21	460	21.9	3.3	26,234
20/05/2018	21	466	22.2	3.3	26,577
21/05/2018	21	470	22.4	3.3	26,805
22/05/2018	21	475	22.6	3.3	27,090
23/05/2018	21	473	22.5	3.3	26,976
24/05/2018	21	477	22.7	3.3	27,204
25/05/2018	21	491	23.4	3.3	28,002
26/05/2018	21	494	23.5	3.3	28,173
27/05/2018	21	492	23.4	3.3	28,059
28/05/2018	22	500	22.7	3.4	28,516
29/05/2018	22	501	22.8	3.4	28,573
30/05/2018	22	506	23.0	3.4	28,858
31/05/2018	22	500	22.7	3.4	28,516
