COW,DATE,MILK,CONCENTRATED FEEDING,RELATION,PADDOCK
1,5-ene,0.0,0.0,0.0,2.0
1,12-ene,0.0,0.0,0.0,2.0
1,19-ene,0.0,0.0,0.0,3.0
1,26-ene,0.0,0.0,0.0,4.0
1,2-feb,0.0,0.0,0.0,5.0
1,9-feb,0.0,0.0,0.0,3.0
1,16-feb,0.0,0.0,0.0,2.0
1,23-feb,21.5,6.0,3.6,1.0
1,2-mar,26.0,8.0,3.3,4.0
1,9-mar,26.0,8.0,3.3,5.0
1,17-mar,25.0,8.0,3.1,5.0
1,23-mar,26.5,8.0,3.3,3.0
1,30-mar,25.0,8.0,3.1,2.0
1,6-abr,26.5,8.0,3.3,1.0
1,14-abr,27.5,8.0,3.4,1.0
1,20-abr,25.5,8.0,3.2,4.0
1,27-abr,23.5,6.0,3.9,5.0
1,4-may,23.0,6.0,3.8,5.0
1,11-may,25.5,8.0,3.2,3.0
1,18-may,23.5,6.0,3.9,2.0
1,25-may,23.5,6.0,3.9,1.0
1,1-jun,23.5,6.0,3.9,1.0
1,8-jun,22.5,6.0,3.8,4.0
1,15-jun,20.5,4.0,5.1,5.0
1,23-jun,20.0,4.0,5.0,3.0
1,26-jun,19.5,4.0,4.9,0.0
1,1-jul,21.0,6.0,3.5,2.0
1,6-jul,19.5,4.0,4.9,2.0
1,13-jul,18.0,4.0,4.5,1.0
1,20-jul,18.0,4.0,4.5,4.0
1,27-jul,16.0,4.0,4.0,5.0
1,3-ago,16.5,4.0,4.1,3.0
1,10-ago,18.0,4.0,4.5,2.0
1,17-ago,16.0,4.0,4.0,0.0
1,24-ago,17.0,4.0,4.3,1.0
1,31-ago,17.0,4.0,4.3,1.0
1,6-sep,15.5,2.0,7.8,4.0
1,13-sep,17.0,4.0,4.3,5.0
1,21-sep,17.0,4.0,4.3,3.0
1,28-sep,16.0,4.0,4.0,3.0
1,4-oct,18.5,4.0,4.6,2.0
1,12-oct,16.5,4.0,4.1,1.0
1,19-oct,15.5,2.0,7.8,1.0
1,26-oct,14.5,2.0,7.3,4.0
1,2-nov,14.0,2.0,7.0,5.0
1,9-nov,15.5,2.0,7.8,3.0
1,15-nov,15.0,2.0,7.5,3.0
1,23-nov,13.5,2.0,6.8,2.0
1,30-nov,10.0,0.0,0.0,1.0
1,7-dic,0.0,0.0,0.0,0.0
1,14-dic,0.0,0.0,0.0,4.0
1,22-dic,0.0,0.0,0.0,0.0
1,28-dic,0.0,0.0,0.0,0.0
2,5-ene,0.0,0.0,0.0,2.0
2,12-ene,0.0,0.0,0.0,2.0
2,19-ene,0.0,0.0,0.0,3.0
2,26-ene,0.0,0.0,0.0,4.0
2,2-feb,15.0,6.0,2.5,5.0
2,9-feb,18.0,8.0,2.3,3.0
2,16-feb,22.0,6.0,3.7,2.0
2,23-feb,25.0,8.0,3.1,1.0
2,2-mar,25.5,8.0,3.2,0.0
2,9-mar,28.5,8.0,3.6,0.0
2,17-mar,27.5,8.0,3.4,0.0
2,23-mar,28.0,8.0,3.5,0.0
2,30-mar,28.5,8.0,3.6,0.0
2,6-abr,28.0,8.0,3.5,1.0
2,14-abr,28.5,8.0,3.6,1.0
2,20-abr,27.5,8.0,3.4,4.0
2,27-abr,28.5,8.0,3.6,5.0
2,4-may,25.5,6.0,4.3,5.0
2,11-may,26.0,8.0,3.3,3.0
2,18-may,27.5,8.0,3.4,2.0
2,25-may,25.0,8.0,3.1,1.0
2,1-jun,23.5,6.0,3.9,1.0
2,8-jun,23.5,6.0,3.9,4.0
2,15-jun,24.0,6.0,4.0,5.0
2,23-jun,22.5,6.0,3.8,3.0
2,26-jun,21.5,6.0,3.6,0.0
2,1-jul,23.0,6.0,3.8,2.0
2,6-jul,20.5,4.0,5.1,2.0
2,13-jul,21.5,6.0,3.6,1.0
2,20-jul,20.5,6.0,3.4,4.0
2,27-jul,19.0,4.0,4.8,5.0
2,3-ago,19.5,4.0,4.9,3.0
2,10-ago,21.0,6.0,3.5,2.0
2,17-ago,18.0,4.0,4.5,0.0
2,24-ago,22.0,6.0,3.7,1.0
2,31-ago,21.0,6.0,3.5,1.0
2,6-sep,19.0,4.0,4.8,4.0
2,13-sep,21.0,6.0,3.5,5.0
2,21-sep,18.0,4.0,4.5,3.0
2,28-sep,18.5,4.0,4.6,3.0
2,4-oct,18.0,4.0,4.5,2.0
2,12-oct,16.5,4.0,4.1,1.0
2,19-oct,17.0,4.0,4.3,1.0
2,26-oct,16.5,4.0,4.1,4.0
2,2-nov,15.5,2.0,7.8,5.0
2,9-nov,17.0,0.0,0.0,3.0
2,15-nov,14.0,0.0,0.0,3.0
2,23-nov,0.0,0.0,0.0,2.0
2,30-nov,0.0,0.0,0.0,0.0
2,7-dic,0.0,0.0,0.0,0.0
2,14-dic,0.0,0.0,0.0,4.0
2,22-dic,0.0,0.0,0.0,0.0
2,28-dic,0.0,0.0,0.0,0.0
3,5-ene,30.5,10.0,3.1,2.0
3,12-ene,28.5,10.0,2.9,2.0
3,19-ene,31.0,10.0,3.1,3.0
3,26-ene,27.5,8.0,3.4,4.0
3,2-feb,25.0,8.0,3.1,5.0
3,9-feb,27.5,8.0,3.4,3.0
3,16-feb,26.5,8.0,3.3,2.0
