DATE,NUM COWS,TOTAL MILK,HA
1/01/2018,15,342.0,6.521739130434783
2/01/2018,15,340.0,6.521739130434783
3/01/2018,15,342.0,6.521739130434783
4/01/2018,15,351.0,6.521739130434783
5/01/2018,15,343.0,6.521739130434783
6/01/2018,15,335.0,6.521739130434783
7/01/2018,15,343.0,6.521739130434783
8/01/2018,15,340.0,6.521739130434783
9/01/2018,15,328.0,6.521739130434783
10/01/2018,15,331.0,6.521739130434783
11/01/2018,15,339.0,6.521739130434783
12/01/2018,15,348.0,6.521739130434783
13/01/2018,15,332.0,6.521739130434783
14/01/2018,16,337.0,6.4
15/01/2018,16,325.0,6.4
16/01/2018,16,306.0,6.4
17/01/2018,16,326.0,6.4
18/01/2018,16,320.0,6.4
19/01/2018,16,333.0,6.4
20/01/2018,16,321.0,6.4
21/01/2018,16,323.0,6.4
22/01/2018,16,318.0,6.4
23/01/2018,16,317.0,6.4
24/01/2018,16,315.0,6.4
25/01/2018,16,320.0,6.4
26/01/2018,16,322.0,6.4
27/01/2018,16,320.0,6.4
28/01/2018,16,305.0,6.4
29/01/2018,16,300.0,6.4
30/01/2018,16,306.0,6.4
31/01/2018,16,297.0,6.4
1/02/2018,15,293.0,6.521739130434783
2/02/2018,17,297.0,6.296296296296296
3/02/2018,17,314.0,6.296296296296296
4/02/2018,18,320.0,6.428571428571429
5/02/2018,18,322.0,6.428571428571429
6/02/2018,18,337.0,6.428571428571429
7/02/2018,18,357.0,6.428571428571429
8/02/2018,18,349.0,6.428571428571429
9/02/2018,18,364.0,6.428571428571429
10/02/2018,18,358.0,6.428571428571429
11/02/2018,18,374.0,6.428571428571429
12/02/2018,18,362.0,6.428571428571429
13/02/2018,18,374.0,6.428571428571429
14/02/2018,18,366.0,6.428571428571429
15/02/2018,18,379.0,6.428571428571429
16/02/2018,18,368.0,6.428571428571429
17/02/2018,18,355.0,6.428571428571429
18/02/2018,18,362.0,6.428571428571429
19/02/2018,17,365.0,6.296296296296296
20/02/2018,17,368.0,6.296296296296296
21/02/2018,17,382.0,6.296296296296296
22/02/2018,17,415.0,6.296296296296296
23/02/2018,20,408.0,6.451612903225806
24/02/2018,20,416.0,6.451612903225806
25/02/2018,20,396.0,6.451612903225806
26/02/2018,20,404.0,6.451612903225806
27/02/2018,20,387.0,6.451612903225806
28/02/2018,20,396.0,6.451612903225806
1/03/2018,20,407.0,6.451612903225806
2/03/2018,18,401.0,6.428571428571429
3/03/2018,18,411.0,6.428571428571429
4/03/2018,18,446.0,6.428571428571429
5/03/2018,18,440.0,6.428571428571429
