Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
730.0,544.78630579307,28.0,210.11291233374791,329.0534310192707
731.0,547.3450754431443,28.0,210.84859603732474,329.30539290560665
732.0,539.3788789392486,28.0,209.71170303640255,331.59666987018954
733.0,526.6596895736053,28.0,208.35504217446805,333.92579349397187
734.0,519.0552909993149,28.0,207.312025075776,335.4779693793303
735.0,514.3028517042278,28.0,208.24057864669408,335.6900995726402
736.0,518.4149082199953,28.0,207.12317381078947,335.0007446658086
737.0,520.0420709945059,28.0,207.59484064307668,335.7745238619286
738.0,520.0321882747032,28.0,206.44214765473876,332.66919103583103
739.0,521.3061001098293,28.0,206.80734999374144,333.28905009383834
740.0,523.6432982066574,28.0,207.47777025187247,333.80389110426967
741.0,523.6105219129547,28.0,207.46432258370925,333.795309769387
742.0,520.8102825324477,28.0,206.66149447386005,335.87002644799014
743.0,523.1560906007128,28.0,207.33388399091632,336.3973407531494
744.0,525.5332886649695,28.0,208.01463749232684,336.9276644653637
745.0,531.4932400628047,28.0,208.58314332688406,337.7284839845983
746.0,525.5413835994317,28.0,208.01816794591696,338.79154501398233
747.0,527.9409961202304,28.0,208.70684952055507,339.3332992338079
748.0,519.2599287259354,28.0,209.65305570345632,339.53885380559825
749.0,512.8521446689481,28.0,207.80710539576074,340.49916292005975
750.0,509.6228809127251,28.0,208.02170684398033,340.5023374855351
751.0,504.44038993715486,28.0,205.38168917678263,341.5323572884355
752.0,508.6746343452845,28.0,205.45439862911388,341.32263709372234
753.0,494.52317553067644,28.0,205.9751111327057,341.4858188217542
754.0,486.0287340964625,28.0,205.84257782051017,342.777518223025
755.0,484.9387803292063,28.0,205.52369634686633,344.03259839204986
756.0,489.8461354757693,28.0,205.78750878138803,343.5723947703058
757.0,493.5659661097505,28.0,205.70809532596223,344.7765177564704
758.0,501.36826517769,28.0,204.5133281086419,341.8702782811509
759.0,508.86550559836905,28.0,202.09703246252644,341.24276165042613
760.0,502.3477560087784,28.0,202.52551179225355,341.92290246213463
761.0,493.9598799157255,28.0,200.1086589623734,343.14488127764133
762.0,484.3219153461731,28.0,199.64345646295482,344.1378023591592
763.0,479.3848893011833,28.0,199.36295018015335,345.5708751832712
764.0,463.29744290542294,28.0,199.32640925217524,346.6764696010697
765.0,468.36097965927013,28.0,199.63462000181943,346.73830885339436
766.0,467.7796538850886,28.0,200.61281590462175,346.9203769903614
767.0,472.7534832265029,28.0,198.59742411549175,346.1709424026558
768.0,472.805856814048,28.0,199.76233306869776,346.1453213144763
769.0,474.7419951927812,28.0,200.31535964743668,346.77948107246874
770.0,476.7085980055922,28.0,200.87722700494504,347.4164518106143
771.0,478.7056652524813,28.0,201.44793514122284,348.0562335289127
772.0,476.8321289479187,28.0,200.9047333458429,349.05788733032085
773.0,478.85229538280447,28.0,201.48378382068597,349.7038318954709
774.0,485.1852943633313,28.0,201.0095747074599,350.82270921391694
775.0,486.04169218432315,28.0,202.40613987701306,350.6269486482209
776.0,491.1024245104192,28.0,201.56348195738883,348.31551977481115
777.0,490.4604955601177,28.0,200.23179392587798,349.2733208297458
778.0,489.26991612743825,28.0,201.04111299948778,349.64503128722293
779.0,491.50588790639904,28.0,201.68389268445088,349.4019984889744
780.0,492.65787495885434,28.0,202.01839693691517,349.5006256947845
781.0,494.72950126234025,28.0,202.62023531305954,350.11779360834254
782.0,498.69295495702545,28.0,202.6087591209228,350.90484594630027
783.0,495.6239554840061,28.0,200.583422611289,349.881600798885
784.0,497.701421124783,28.0,201.17687188145854,350.50922206485865
785.0,501.10661654981794,28.0,201.00334865572484,350.14233115900436
786.0,501.6994182277505,28.0,201.1776719305215,349.74562763518844
787.0,503.8318371376624,28.0,201.7879111696932,350.35907089707126
788.0,507.47228166591583,28.0,201.6827276715255,350.43840246285527
789.0,500.96884338585386,28.0,202.1055960913738,351.1913011430996
790.0,499.6957700552686,28.0,200.58549257406185,349.3860383444914
791.0,503.0756664670909,28.0,200.40899447859584,350.5087908950372
792.0,506.55123518640676,28.0,200.25938294337215,347.14462786269803
793.0,506.14406678266744,28.0,198.99860561639295,344.0003177637273
794.0,510.6726328282649,28.0,198.00252701619576,342.4993391491255
795.0,512.0925261908977,28.0,197.26197139538507,342.6899556829847
796.0,514.292970408271,28.0,197.8916311005985,343.1954358137935
797.0,518.9582793956807,28.0,198.08368636731808,343.56214543803634
798.0,523.7246547007893,28.0,198.30556942323938,343.44253489256596
799.0,528.5258585302306,28.0,198.54084634755486,343.9632717752725
800.0,525.9049731584007,28.0,198.93192039882393,344.7023905418882
801.0,526.288641902961,28.0,199.0495210162935,345.37280141871645
802.0,519.2967938521592,28.0,198.18515514508982,344.92298410898485
803.0,518.5204371574727,28.0,200.25566244382648,343.9483403407366
804.0,516.2942475009856,28.0,201.91334534416205,343.39706716481555
805.0,511.9445291973675,28.0,201.8073304471743,344.67004439349466
806.0,510.4923175802537,28.0,201.3881460105901,343.08365512555736
807.0,509.9022152070478,28.0,202.36534481112568,343.2644897204409
808.0,516.9321318779821,28.0,200.94183702817213,342.93681496910347
809.0,518.0960039823161,28.0,200.12949070486405,340.4510398873648
810.0,520.6329469776123,28.0,199.71477038462277,340.8563022461252
811.0,524.3984550861567,28.0,199.64870632456638,338.13775207248113
812.0,512.2565224698021,28.0,198.43866131509134,340.4748520317804
813.0,523.5689040604454,28.0,195.95684368148403,339.7708550048195
814.0,527.5531784889104,28.0,195.95934049832135,336.3720818000419
815.0,531.4937677997664,28.0,195.94065849871612,336.34692968552616
816.0,527.7987626867491,28.0,196.0216754449176,337.3469954532118
817.0,530.1356742759027,28.0,196.68928093169458,337.7965795090144
818.0,532.5089961214157,28.0,197.367452674867,338.2479183500767
819.0,536.9573378091194,28.0,197.4972609106334,336.953774051393
820.0,534.0930301033175,28.0,195.53749096070766,337.2709357444079
821.0,539.463111729862,28.0,194.78522267344098,334.2541275905711
822.0,549.9028999405464,28.0,194.3504581881019,331.5887812779393
823.0,548.6219408372295,28.0,193.97577666517859,331.2107044811367
824.0,556.1814134170909,28.0,191.55186851881672,328.86683877702205
825.0,556.2173495549018,28.0,191.56069875324363,330.2016302544677
826.0,559.6600009442084,28.0,191.39854403654647,330.8104920478246
827.0,547.0148418664241,28.0,191.21428193261045,331.94371557454394
828.0,552.4046404802169,28.0,191.61607793606936,332.7281104823997
829.0,552.6801403347346,28.0,192.84112991683475,332.5287642146071
830.0,554.0741124738169,28.0,194.38733780447507,332.0179534658082
831.0,554.6814013796998,28.0,195.70541736008045,331.7510892731843
832.0,556.5140323443761,28.0,196.2312895168285,330.4696959231418
833.0,555.8846937796195,28.0,197.20391010185458,330.55378791302314
834.0,558.4128342840198,28.0,197.9274581348455,330.9384017256124
835.0,563.0444646377957,28.0,198.1109838230321,332.0750692818815
836.0,560.2860476924566,28.0,198.4646936726089,332.8222460215329
837.0,564.687003490523,28.0,198.58029493676395,332.2087977761418
838.0,563.7686118144928,28.0,198.32019790735367,332.59646075630735
839.0,569.8091772980677,28.0,198.91241078258068,333.25046116883266
840.0,573.2062711265639,28.0,198.73778060014047,333.6792520787252
841.0,575.8599080663636,28.0,199.49799988092877,334.063389606413
842.0,565.7868447116646,28.0,198.8902822215769,335.7843916246735
843.0,562.1295313182025,28.0,197.8362733179875,334.2738242449451
844.0,564.750013390951,28.0,198.58764998854235,334.6724312886333
845.0,561.6965069489918,28.0,200.00583693342665,334.3498166049851
846.0,563.6665150435135,28.0,200.56893640048858,334.1796621610094
847.0,558.0611667609969,28.0,201.24580132514015,334.6281132179941
848.0,558.3819873562683,28.0,202.48430438821433,334.54525935093
849.0,559.5948678805441,28.0,202.83833547589697,333.07409118251405
850.0,559.6845816102187,28.0,202.86144999931253,332.520317855601
851.0,562.3960648619225,28.0,203.63842558328545,332.93679056627207
852.0,565.1419620015612,28.0,204.4252980229299,333.35533547735486
853.0,569.9470794895095,28.0,203.5076015595685,332.5977928614205
854.0,572.7491892508464,28.0,204.31248246785566,332.9970286022775
855.0,558.5611996448536,28.0,203.68671729830788,333.6439210247086
856.0,558.4577901124691,28.0,204.80323404121182,333.7144754182217
857.0,552.8852216352482,28.0,205.50393986755913,334.17837683871295
858.0,555.5704427189042,28.0,206.273491318549,334.65264994279954
859.0,558.289088018574,28.0,207.05274247702604,335.129199804999
860.0,546.999005830264,28.0,204.95439131662178,337.0722425144207
861.0,542.8111238877585,28.0,203.75970327767104,337.4994050689206
862.0,542.2055150653505,28.0,204.74655819325602,334.6477093507826
863.0,547.2941881997733,28.0,203.9134545321088,336.5988993293213
864.0,551.8936611143508,28.0,202.93812899468153,337.4767540560711
865.0,555.6026989702407,28.0,202.8539352826714,336.26387917722616
866.0,542.9516727338329,28.0,199.2110604341026,338.9281837124739
867.0,542.4612816151908,28.0,199.07071802986127,339.5479920383744
868.0,536.6984019990671,28.0,199.7067927393097,340.0912440037935
869.0,540.6703190417443,28.0,199.69810493291197,340.2112326935702
870.0,537.2929212948465,28.0,198.75759875833495,341.3085567392406
871.0,534.846732779667,28.0,199.203644434991,342.0804487310637
872.0,541.570303714753,28.0,198.84310826926935,339.5662761911648
873.0,543.9778960777281,28.0,199.5337221380213,340.12227876136524
874.0,548.1917830107672,28.0,199.5957570589035,340.72117877316384
875.0,545.5097711151609,28.0,199.96726994227652,341.5892323732053
876.0,550.5574923829456,28.0,200.27160449935533,340.8421795675392
877.0,553.0582391859075,28.0,200.98974428953085,341.3952532187626
878.0,555.5891780584742,28.0,201.71546101175034,341.952623600568
879.0,547.8550814599921,28.0,201.78294474395645,343.12989783195997
880.0,545.9206296937239,28.0,202.3778536269279,339.805397820119
881.0,548.4361439902153,28.0,203.10030673711861,340.35584881347694
882.0,550.9814758618835,28.0,203.83030898596047,340.9104460468022
883.0,555.6105660709309,28.0,204.01585061062838,340.45757873470586
884.0,558.1986104844225,28.0,204.7602662737841,341.0096238592863
885.0,555.4090319286996,28.0,205.10419364351327,340.5597660820446
886.0,555.2431492411719,28.0,206.20078529510073,340.74578379931626
887.0,563.4911552465932,28.0,205.13349016963912,337.399068009017
888.0,566.1385596913251,28.0,205.8951532525613,337.9029120634358
889.0,561.6615928155436,28.0,205.76234731588457,338.91670796305846
890.0,560.601886781621,28.0,205.45777655076162,340.6618674738717
891.0,564.4646400106606,28.0,205.41937754401002,341.83832693015495
892.0,561.9688545229602,28.0,205.854744680942,342.0886422502273
893.0,560.3329448991059,28.0,206.53499349872408,341.285329270569
894.0,562.9404525271888,28.0,207.28276060972053,341.82935882505683
895.0,544.0826688361442,28.0,205.31061738900885,345.03100242000363
896.0,542.160044311189,28.0,204.7554612581845,344.9341914705589
897.0,540.9748701440483,28.0,205.56179329694655,345.4073061987548
898.0,539.0229660018183,28.0,205.00779395976943,345.82047961000154
899.0,541.4620313534772,28.0,205.70684473372768,346.4393962572184
900.0,539.0640261059094,28.0,206.1656099929656,347.280843311923
901.0,531.91462100712,28.0,207.56080437923788,347.12627985205853
902.0,528.3916641188853,28.0,205.4069226970761,346.51697204131744
903.0,532.3163538362226,28.0,205.38753312929148,345.0678051647907
904.0,534.6773150068684,28.0,206.06470588327176,345.7147141713987
905.0,540.4269874999679,28.0,205.42083692250284,346.35407433260605
906.0,544.0815754051561,28.0,205.32487987773544,347.42499603325103
907.0,546.3659809329839,28.0,204.8393002483139,347.68079801767055
908.0,547.0388097297248,28.0,206.18733721438866,347.3034556325622
909.0,552.1841654317434,28.0,205.37072188794053,347.99492888470047
910.0,550.5920649812676,28.0,204.90909772013197,348.3776069476354
911.0,541.8801008736284,28.0,206.99947144307916,347.4992419109584
912.0,544.2840492149105,28.0,207.688045273527,348.1672603444711
913.0,546.7191897622306,28.0,208.38567108216702,348.8385650434924
914.0,543.9627844937352,28.0,208.73723680121276,349.8433486541745
915.0,552.6931819201179,28.0,206.65824030009944,346.7263933179775
916.0,558.2282216374086,28.0,207.11781067892966,347.4168540693347
917.0,559.9110131156198,28.0,206.45750169386378,346.1582166266973
918.0,562.3627562713749,28.0,207.16031600615287,346.76736214753623
919.0,562.3652169959404,28.0,208.30143242823252,346.92293530426457
920.0,568.857735379272,28.0,207.87348174193443,343.1375788906253
921.0,570.395564148373,28.0,208.31609803591354,340.07608810163583
922.0,566.9276229762062,28.0,206.1701844157639,341.60270977487846
923.0,562.5952690618378,28.0,206.07294515663315,342.94110641894
924.0,565.0932904132471,28.0,206.78722708174533,343.50122749463895
925.0,563.7179786937153,28.0,207.53609604880103,344.01061040238994
926.0,559.6972077754242,28.0,206.37751264154562,340.34552107353454
927.0,562.4436018487746,28.0,207.16999687025205,339.5082307842962
928.0,567.5385770984542,28.0,206.33836681931817,339.1043161148821
929.0,570.0935707684918,28.0,207.0697150739714,339.63121769461344
930.0,568.8936681841726,28.0,206.71784722533394,335.6139698808521
931.0,562.3198207731162,28.0,204.82439540126612,336.93296162440186
932.0,555.8472595805713,28.0,205.25103040097028,337.64914204935315
933.0,550.3148150754149,28.0,204.79899102160334,339.29219577799415
934.0,550.860299788557,28.0,206.10088559914135,339.17413774925944
935.0,539.5802323211067,28.0,205.16249780705562,339.93946638424734
936.0,542.0471155035063,28.0,205.8685634195852,340.468379163723
937.0,544.5492159455889,28.0,206.58445291911758,341.0000109997193
938.0,540.573049248165,28.0,207.73936909223934,341.03807492218476
939.0,541.7026009898216,28.0,206.91414346797654,340.12797579098026
940.0,540.1234238949394,28.0,205.32242511213332,341.1572541524871
941.0,538.6564705945493,28.0,206.0494062358477,341.6525915148628
942.0,539.9677924815288,28.0,207.57497001798956,341.3502258675218
943.0,534.4901161019336,28.0,207.1392432466017,343.046316820881
944.0,536.9655629380566,28.0,207.84759169278112,343.6260158652806
945.0,542.0142759235864,28.0,206.99861975881618,343.7124218316817
946.0,545.0888229335897,28.0,206.7311597804544,344.55933382122504
947.0,541.7201303742878,28.0,206.91231372773092,345.6569621077873
948.0,541.1950301454215,28.0,207.90415845597764,345.9560093439512
949.0,541.2238588409206,28.0,206.76680281680797,345.7223662628247
950.0,542.5316171664333,28.0,207.14590575029297,345.1104099118215
951.0,540.0766631446306,28.0,207.58193692465383,345.9662308497501
952.0,546.4547229687489,28.0,207.11964536273317,346.1118443740089
953.0,551.1288271768183,28.0,206.16599122527458,346.57513600411625
954.0,549.1980073856578,28.0,206.76055828394752,347.2619821809973
955.0,545.2532619894971,28.0,204.48070023125874,342.6744145635016
956.0,549.4137306252657,28.0,204.5302752780306,341.8875790874307
957.0,545.3418274289667,28.0,203.35821908963212,342.9944819825081
958.0,549.2508510186615,28.0,203.33132039304678,341.274877814898
959.0,551.8190944534643,28.0,204.06673696561552,341.7847822952223
